City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
342,saiha,22.4833,92.9667,295.3,100,100,0.31,IN,1691700608
343,progreso,21.2833,-89.6667,311.54,70,12,7.11,MX,1691700608
344,calama,-22.4667,-68.9333,296.42,9,0,6.69,CL,1691700496
345,comandante fontana,-25.3345,-59.6821,307.85,25,26,4.4,AR,1691700613
346,nova sintra,14.8667,-24.7167,295.82,75,22,7.22,CV,1691700613
347,borba,-4.3878,-59.5939,302.97,55,86,1.29,BR,1691700613
348,barra de santo antonio,-9.4047,-35.5072,297.75,84,8,3.93,BR,1691700614
349,yumbe,3.4651,31.2469,291.2,96,61,1.64,UG,1691700614
350,rusape,-18.5278,32.1284,284.01,87,91,2.7,ZW,1691700614
351,los chavez,34.727,-106.7384,307.63,27,93,0.45,US,1691700614
352,knokke-heist,51.3333,3.3333,294.35,50,33,3.83,BE,1691700615
353,cannonvale,-20.2833,148.7,291.81,76,2,4.36,AU,1691700615
354,novaya igirma,57.1334,103.9112,287.98,80,100,1.57,RU,1691700615
355,berezovyy,51.6667,135.7,288.46,78,16,0.72,RU,1691700615
356,mahina,-17.5065,-149.489,300.02,61,40,2.06,PF,1691700615
357,sao joao da barra,-21.6403,-41.0511,298.2,83,8,7.54,BR,1691700533
358,geraldton,-28.7667,114.6,286.38,94,100,2.06,AU,1691700611
359,maba,24.6841,113.5984,295.92,95,62,0.16,CN,1691700616
360,mont-dore,-22.2833,166.5833,293.15,97,6,3.64,NC,1691700616
361,sredneuralsk,56.9892,60.4666,286.79,76,68,1.89,RU,1691700613
362,alofi,-19.0595,-169.9187,298.09,94,40,2.06,NU,1691700616
363,huarmey,-10.0681,-78.1522,294.66,74,3,5.87,PE,1691700617
